«1830-0000»,【 カンマ区切りテキスト形式です。】
«1830-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1830-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1830-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1830-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1830-0050»,【 外部リンク　】
«1830-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/108 ～ 112】
«1830-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1830h　(翻刻編集終了データを表成型して表示します)】
«1830-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1830ht (翻刻編集中データを表成型して表示します)】
«1830-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1830-0100»,«版元»,出版地○○,出版元□□□,　
«1830-1970»,«暦日2»,十三〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1830-1980»,«暦日0»,十四〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1830-1990»,«暦日2»,十五〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1830-2000»,«暦日0»,十六〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1830-2010»,«暦日1»,十七〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1830-2020»,«節中»,小暑六月せついの七刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1830-2030»,«暦日1»,十八〳,きのとのい,さたん,火,　,ちう日
«1830-2040»,«暦日2»,十九〳,ひのえね,とる,水,　,きしく きこ 下しきたつの時
«1830-2050»,«暦日0»,廿〳,ひのとのうし,やふる,,　,十し
«1830-2060»,«暦日2»,廿一〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1830-2070»,«暦日0»,廿二〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1830-2080»,«暦日2»,廿三〳,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
«1830-2090»,«暦日0»,廿四〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1830-2100»,«暦日2»,廿五〳,みつのえむま,とつ,木,　,●
