《1831-0000》,# カンマ区切りテキスト形式です。
《1831-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1831-0020》,# ・表の区画内での改行は“/”で表記します。
《1831-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1831-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1831-0050》,# 外部リンク
《1831-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/113 ～ 117
《1831-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1831g　(GitHub上データを表成型)
《1831-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1831h　(翻刻編集データを表成型 - 未実装)
《1831-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1831-0100》,《版元》,出版地○○,出版元□□□,　
《1831-2060》,《暦日2》,廿二／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1831-2070》,《暦日0》,廿三／,みつのとのう,なる,,　,天火 らうしやく わうまう
《1831-2080》,《暦日2》,廿四／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1831-2090》,《暦日0》,廿五／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《1831-2100》,《暦日2》,廿六／,ひのえむま,とつ,水,　,●
《1831-2110》,《暦日0》,廿七／,ひのとのひつし,たつ,,　,くゑ日
《1831-2120》,《暦日2》,廿八／,つちのえさる,のそく,土,　,神よし きしく ふく日  たねまきよし
《1831-2130》,《暦日0》,廿九／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1831-2140》,《暦日1》,卅／,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
《1831-2150》,《節中》,立秋七月せつひつしの八刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1831-2160》,《月序》,七月,小,建,丙申,畢宿　張　月よう
《1831-2170》,《暦日1》,一／,かのとのい,たいら,金,　,神よし 大みやう 天おん ちう日 めつもん 地火
《1831-2180》,《暦日2》,二／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
