《1787-0000》,# カンマ区切りテキスト形式です。
《1787-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1787-0020》,# ・表の区画内での改行は“/”で表記します。
《1787-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1787-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1787-0050》,# 外部リンク
《1787-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/202 ～ 206
《1787-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1787g　(GitHub上データを表成型)
《1787-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1787h　(翻刻編集データを表成型 - 未実装)
《1787-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1787-0100》,《版元》,出版地○○,出版元□□□,　
《1787-1970》,《暦日2》,十二／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1787-1980》,《暦日0》,十三／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1787-1990》,《暦日2》,十四／,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
《1787-2000》,《暦日0》,十五／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1787-2010》,《暦日2》,十六／,みつのえね,とる,木,八せんのはしめ,天おん きこ わうまう 下しきたつの時
《1787-2020》,《暦日0》,十七／,みつのとのうし,やふる,,ま日,十し
《1787-2030》,《暦日2》,十八／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1787-2040》,《暦日0》,十九／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1787-2050》,《暦日2》,廿／,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
《1787-2060》,《暦日0》,廿一／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1787-2070》,《暦日2》,廿二／,つちのえむま,とつ,火,ま日,●
《1787-2080》,《暦日0》,廿三／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《1787-2090》,《節中》,立秋七月せついの五刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1787-2100》,《暦日2》,廿四／,かのえさる,たつ,木,末伏,さい下しき 大みやう くゑ日 ふく日 下しきみの時
《1787-2110》,《暦日0》,廿五／,かのとのとり,のそく,,　,十し
《1787-2120》,《暦日2》,廿六／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《1787-2130》,《暦日0》,廿七／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
