«1689-0000»,【 カンマ区切りテキスト形式です。】
«1689-2640»,«暦日0»,廿九〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1689-2650»,«暦日1»,卅〳,きのえね,たいら,金,　,大くわ 地火  わたましよし
«1689-2660»,«月序»,八月,小,建,癸酉,柳宿　軫　水よう
«1689-2670»,«暦日1»,一〳,きのとのうし,さたん,金,　,神よし ふく日  つめとりよし
«1689-2680»,«暦日2»,二〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1689-2690»,«暦日0»,三〳,ひのとのう,やふる,,　, 田かりよし
«1689-2700»,«暦日2»,四〳,つちのえたつ,あやふ,木,社日,五む日  みそすつくりよし
«1689-2710»,«暦日0»,五〳,つちのとのみ,なる,,　,十し
«1689-2720»,«暦日2»,六〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1689-2730»,«暦日0»,七〳,かのとのひつし,ひらく,,秋分八月中いぬの三刻,●
«1689-2740»,«暦日2»,八〳,みつのえさる,とつ,金,　,神よし 大みやう
«1689-2750»,«暦日0»,九〳,みつのとのとり,たつ,,ひかんニなる,大みやう 天火 らうしやく わうまう 下しきむまの時
«1689-2760»,«暦日2»,十〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1689-2770»,«暦日0»,十一〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1689-2780»,«暦日2»,十二〳,ひのえね,たいら,水,　,大くわ 地火
«1689-2790»,«暦日0»,十三〳,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
«1689-2800»,«暦日2»,十四〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1689-2810»,«暦日0»,十五〳,つちのとのう,やふる,,　,大みやう
«1689-2820»,«暦日2»,十六〳,かのえたつ,あやふ,金,　
«1689-2830»,«暦日0»,十七〳,かのとのみ,なる,,　,十し
«1689-2840»,«暦日2»,十八〳,みつのえむま,おさん,木,　,大みやう めつもん
«1689-2850»,«暦日0»,十九〳,みつのとのひつし,ひらく,,　,●
«1689-2860»,«暦日2»,廿〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1689-2870»,«暦日0»,廿一〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
«1689-2880»,«暦日2»,廿二〳,ひのえいぬ,のそく,土,　,五む日 ちいみ
«1689-2890»,«暦日0»,廿三〳,ひのとのい,のそく,,かん露九月せつうしの初刻ニ入,大みやう ちう日
«1689-2900»,«暦日2»,廿四〳,つちのえね,みつ,火,　,きしく きこ ふく日 天火 らうしやく
«1689-2910»,«暦日0»,廿五〳,つちのとのうし,たいら,,　,十し
